decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,60.5,29.7,19,2,61.9,30.2,0,0,0,-0.3200,scoring_volume=-0.480,38.3,0,34,1080.8
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,81.4,37.4,210,1,95.0,40.0,0,0,0,-0.4000,scoring_volume=-0.480,32.9,0,34,1080.9
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.5,34.5,41,2,72.0,41.0,0,30,-30,-92.4629,score_red=-90.000,6.2,0,31,1549.6
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,75.8,44.3,221,1,72.0,41.0,0,30,-30,-92.4429,score_red=-90.000,8.9,0,31,1549.7
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,47.3,89,3,72.0,41.0,0,39,-39,-30.4771,score_red=-27.000,12.8,0,25,1555.9
5,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,102.1,37.0,332,2,72.0,41.0,0,39,-39,-30.4638,score_red=-27.000,27.2,0,25,1556.0
6,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.5,45.0,225,1,72.0,41.0,6,39,-33,12.4803,score_blue=+12.000,11.7,0,25,1557.1
7,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.7,44.8,275,2,72.0,41.0,6,39,-33,9.4768,score_blue=+12.000,13.0,0,25,1557.2
8,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,66.3,39.5,15,1,72.0,41.0,12,39,-27,12.0934,score_blue=+12.000,14.9,0,23,1560.4
9,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,89.5,33.3,158,1,72.0,41.0,12,39,-27,14.2789,score_blue=+12.000,11.7,0,23,1560.5
10,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,37.4,39.1,196,0,72.0,41.0,12,42,-30,-8.3495,score_red=-9.000,29.0,0,22,1560.2
11,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_LOW_RIGHT,committed,91.9,44.7,315,1,72.0,41.0,12,42,-30,-9.8531,score_red=-9.000,11.7,0,22,1560.3
12,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,15.8,33.0,196,3,14.2,32.5,15,39,-24,13.0229,score_red=+9.000,22.4,0,20,936.0
13,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_LOW_RIGHT,committed,112.1,24.6,315,0,72.0,41.0,15,39,-24,15.7829,score_red=+9.000,28.5,0,20,936.1
14,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,35.9,8,3,95.0,40.0,9,45,-36,-33.4029,score_red=-18.000,48.3,0,21,1571.8
15,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,81.0,35.4,149,1,80.0,36.0,9,45,-36,-33.1629,score_red=-18.000,32.9,0,21,1571.9
16,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.7,41.1,144,3,95.0,40.0,0,60,-60,-64.1128,score_red=-45.000,17.2,0,20,1565.7
17,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,114.8,38.3,267,1,95.0,40.0,0,60,-60,-63.9115,score_red=-45.000,33.9,0,20,1565.9
18,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,3,95.0,40.0,0,63,-63,-7.0564,score_red=-9.000,16.4,0,21,1565.4
19,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,81.2,35.9,175,0,120.4,36.4,0,63,-63,-6.7314,score_red=-9.000,33.7,0,21,1565.5
20,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,3,95.0,40.0,0,63,-63,0.9885,ctrl_us=+2.000,16.7,0,21,1572.2
