decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,71.5,36.0,152,4,70.1,36.7,0,0,0,-0.8600,collect_red=-0.500,40.7,0,40,1106.8
1,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,25.5,36.0,267,3,49.0,40.0,0,3,-3,-9.5907,score_red=-9.000,46.0,0,40,1658.1
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,19.0,39.2,285,3,23.6,36.4,9,3,6,16.9884,score_blue=+18.000,7.3,0,37,1642.8
3,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,19.0,39.1,270,0,23.6,36.4,15,6,9,2.4864,score_blue=+12.000,0.1,0,37,1339.6
4,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,982.6
5,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,993.1
6,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,986.9
7,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,991.3
8,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,986.0
9,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,990.2
10,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,993.2
11,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,988.1
12,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,996.3
13,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,997.8
14,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,988.3
15,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,990.2
16,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,982.0
17,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,986.3
18,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1002.2
19,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,999.6
20,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,990.8
21,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,996.7
22,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,995.7
23,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1002.9
24,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,998.3
25,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,994.6
26,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,993.4
27,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,994.9
28,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,991.3
29,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,988.1
30,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,989.1
31,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,989.7
32,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1016.5
33,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,994.3
34,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,993.2
35,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1000.4
36,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1001.4
37,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1009.4
38,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,995.3
39,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1002.8
40,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1016.8
41,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,996.8
42,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1011.9
43,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1008.4
44,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,994.8
45,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,992.6
46,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,997.1
47,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1004.1
48,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,992.5
49,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,19.0,39.1,270,0,,,15,6,9,-0.5086,scoring_volume=-0.480,0.0,0,37,1038.9
